country,data,Karunja,Phil,Ramiye,Charlie,Lavanja
Albania,33,6,7,7,6,7
Armenia,0,,,,,
Australia,0,,,,,
Austria,0,,,,,
Azerbaijan,31,7,7,6,6,5
Belarus,32,7,7,6,5,7
Belgium,0,,,,,
Bulgaria,0,,,,,
Chile,0,,,,,
Croatia,0,,,,,
Cyprus,32,7,7,6,6,6
Czech Republic,24,4,5,5,6,4
Denmark,28,5,6,6,5,6
Estonia,19,4,4,3,5,3
France,34,7,7,7,6,7
Germany,29,6,6,6,5,6
Greece,42,8,8,9,8,9
Hungary,0,,,,,
Iceland,24,4,9,3,2,6
Ireland,0,,,,,
Israel,27,5,5,5,6,6
Italy,41,9,8,8,8,8
Latvia,0,,,,,
Luxembourg,0,,,,,
Malta,27,6,5,6,4,6
Montenegro,0,,,,,
Netherlands,39,8,8,8,7,8
North Macedonia,38,8,7,8,7,8
Norway,33,7,7,6,7,6
Poland,0,,,,,
Portugal,0,,,,,
Russia,17,3,3,4,3,4
Serbia,0,,,,,
Slovakia,0,,,,,
Slovenia,14,2,4,2,3,3
Spain,0,,,,,
Sweden,37,8,6,8,7,8
Switzerland,0,,,,,
United Kingdom,32,6,5,7,7,7
san marino,20,4,3,5,3,5
